;DATE;T_Q_Moyenne;Anomalies;Month;Day
101;2010-04-12 00:00:00;6,04529953;1;4;12
102;2010-04-13 00:00:00;6,593904018;1;4;13
103;2010-04-14 00:00:00;7,230630875;1;4;14
104;2010-04-15 00:00:00;8,127082825;1;4;15
105;2010-04-16 00:00:00;8,710119247;1;4;16
106;2010-04-17 00:00:00;9,863030434;1;4;17
107;2010-04-18 00:00:00;11,09502602;1;4;18
108;2010-04-19 00:00:00;11,61847973;1;4;19
109;2010-04-20 00:00:00;11,10523701;1;4;20
110;2010-04-21 00:00:00;10,91648769;1;4;21
111;2010-04-22 00:00:00;11,23093414;1;4;22
112;2010-04-23 00:00:00;11,40645981;1;4;23
113;2010-04-24 00:00:00;13,29325771;1;4;24
114;2010-04-25 00:00:00;14,15900803;1;4;25
115;2010-04-26 00:00:00;13,07019806;1;4;26
116;2010-04-27 00:00:00;13,31585217;1;4;27
117;2010-04-28 00:00:00;15,83570576;1;4;28
118;2010-04-29 00:00:00;16,52978134;1;4;29
119;2010-04-30 00:00:00;12,88474464;1;4;30
120;2010-05-01 00:00:00;11,54302502;1;5;1
121;2010-05-02 00:00:00;9,878113747;1;5;2
122;2010-05-03 00:00:00;7,550019741;1;5;3
123;2010-05-04 00:00:00;6,836201191;1;5;4
124;2010-05-05 00:00:00;6,116892338;1;5;5
125;2010-05-06 00:00:00;6,804610252;1;5;6
126;2010-05-07 00:00:00;8,042711258;1;5;7
127;2010-05-08 00:00:00;9,598190308;1;5;8
128;2010-05-09 00:00:00;10,77390862;1;5;9
129;2010-05-10 00:00:00;11,65036392;1;5;10
130;2010-05-11 00:00:00;9,572836876;1;5;11
131;2010-05-12 00:00:00;8,111676216;1;5;12
132;2010-05-13 00:00:00;7,405125141;1;5;13
133;2010-05-14 00:00:00;7,748129845;1;5;14
134;2010-05-15 00:00:00;8,517518997;1;5;15
135;2010-05-16 00:00:00;9,698403358;1;5;16
136;2010-05-17 00:00:00;10,83001423;1;5;17
137;2010-05-18 00:00:00;11,43262196;1;5;18
138;2010-05-19 00:00:00;11,37419128;1;5;19
139;2010-05-20 00:00:00;13,0492115;1;5;20
140;2010-05-21 00:00:00;15,14300346;1;5;21
141;2010-05-22 00:00:00;16,45674133;1;5;22
142;2010-05-23 00:00:00;17,680933;1;5;23
143;2010-05-24 00:00:00;19,33270264;1;5;24
144;2010-05-25 00:00:00;18,7105751;1;5;25
145;2010-05-26 00:00:00;15,30742931;1;5;26
146;2010-05-27 00:00:00;13,99534988;1;5;27
147;2010-05-28 00:00:00;13,52521324;1;5;28
148;2010-05-29 00:00:00;13,99135685;1;5;29
149;2010-05-30 00:00:00;14,41934967;1;5;30
150;2010-05-31 00:00:00;13,17234135;1;5;31
151;2010-06-01 00:00:00;13,46160603;1;6;1
152;2010-06-02 00:00:00;14,41893387;1;6;2
153;2010-06-03 00:00:00;16,35507584;1;6;3
154;2010-06-04 00:00:00;18,92200851;1;6;4
155;2010-06-05 00:00:00;20,4607048;1;6;5
156;2010-06-06 00:00:00;17,03296471;1;6;6
157;2010-06-07 00:00:00;16,51910591;1;6;7
158;2010-06-08 00:00:00;16,35806656;1;6;8
159;2010-06-09 00:00:00;17,11515236;1;6;9
160;2010-06-10 00:00:00;18,12101555;1;6;10
161;2010-06-11 00:00:00;17,23313904;1;6;11
162;2010-06-12 00:00:00;16,20951271;1;6;12
163;2010-06-13 00:00:00;15,53023624;1;6;13
164;2010-06-14 00:00:00;14,33307648;1;6;14
165;2010-06-15 00:00:00;14,36806583;1;6;15
166;2010-06-16 00:00:00;14,23785973;1;6;16
167;2010-06-17 00:00:00;14,23602867;1;6;17
168;2010-06-18 00:00:00;14,743783;1;6;18
169;2010-06-19 00:00:00;12,17630386;1;6;19
170;2010-06-20 00:00:00;10,53981972;1;6;20
171;2010-06-21 00:00:00;12,25897694;1;6;21
172;2010-06-22 00:00:00;14,72537422;1;6;22
173;2010-06-23 00:00:00;16,83208656;1;6;23
174;2010-06-24 00:00:00;18,53066063;1;6;24
175;2010-06-25 00:00:00;19,62444305;1;6;25
176;2010-06-26 00:00:00;20,83197594;1;6;26
177;2010-06-27 00:00:00;21,48839569;1;6;27
178;2010-06-28 00:00:00;21,1769619;1;6;28
179;2010-06-29 00:00:00;20,9648304;1;6;29
180;2010-06-30 00:00:00;21,38972855;1;6;30
181;2010-07-01 00:00:00;22,79593658;1;7;1
182;2010-07-02 00:00:00;23,15665054;1;7;2
183;2010-07-03 00:00:00;21,22067451;1;7;3
184;2010-07-04 00:00:00;20,67282677;1;7;4
185;2010-07-05 00:00:00;19,8222599;1;7;5
186;2010-07-06 00:00:00;18,81937027;1;7;6
187;2010-07-07 00:00:00;20,76106071;1;7;7
188;2010-07-08 00:00:00;23,65964508;1;7;8
189;2010-07-09 00:00:00;23,7296505;1;7;9
190;2010-07-10 00:00:00;23,04104233;1;7;10
191;2010-07-11 00:00:00;23,37977219;1;7;11
192;2010-07-12 00:00:00;21,17754745;1;7;12
193;2010-07-13 00:00:00;21,44300461;1;7;13
194;2010-07-14 00:00:00;20,61806488;1;7;14
195;2010-07-15 00:00:00;19,58049011;1;7;15
196;2010-07-16 00:00:00;20,54611778;1;7;16
197;2010-07-17 00:00:00;17,74191284;1;7;17
198;2010-07-18 00:00:00;18,71136284;1;7;18
199;2010-07-19 00:00:00;21,175354;1;7;19
200;2010-07-20 00:00:00;22,15155792;1;7;20
201;2010-07-21 00:00:00;19,4042244;1;7;21
202;2010-07-22 00:00:00;17,54292297;1;7;22
203;2010-07-23 00:00:00;16,41723633;1;7;23
204;2010-07-24 00:00:00;16,45416451;1;7;24
205;2010-07-25 00:00:00;16,98684883;1;7;25
206;2010-07-26 00:00:00;17,84945297;1;7;26
207;2010-07-27 00:00:00;18,90555;1;7;27
208;2010-07-28 00:00:00;19,58950806;1;7;28
209;2010-07-29 00:00:00;17,47126007;1;7;29
210;2010-07-30 00:00:00;17,37451553;1;7;30
211;2010-07-31 00:00:00;19,55525589;1;7;31
212;2010-08-01 00:00:00;19,01834869;1;8;1
213;2010-08-02 00:00:00;17,68001366;1;8;2
214;2010-08-03 00:00:00;17,30137444;1;8;3
215;2010-08-04 00:00:00;17,07000542;1;8;4
216;2010-08-05 00:00:00;15,64187241;1;8;5
217;2010-08-06 00:00:00;16,02931595;1;8;6
218;2010-08-07 00:00:00;18,26352501;1;8;7
219;2010-08-08 00:00:00;18,58158112;1;8;8
220;2010-08-09 00:00:00;18,7070961;1;8;9
221;2010-08-10 00:00:00;19,07137108;1;8;10
222;2010-08-11 00:00:00;18,71759033;1;8;11
223;2010-08-12 00:00:00;17,14856339;1;8;12
224;2010-08-13 00:00:00;15,99003315;1;8;13
225;2010-08-14 00:00:00;15,20414543;1;8;14
226;2010-08-15 00:00:00;14,32005692;1;8;15
227;2010-08-16 00:00:00;14,89469242;1;8;16
228;2010-08-17 00:00:00;16,40214348;1;8;17
229;2010-08-18 00:00:00;16,55477142;1;8;18
230;2010-08-19 00:00:00;18,42113876;1;8;19
231;2010-08-20 00:00:00;20,58582687;1;8;20
232;2010-08-21 00:00:00;22,3357563;1;8;21
233;2010-08-22 00:00:00;21,89436913;1;8;22
234;2010-08-23 00:00:00;20,22778893;1;8;23
235;2010-08-24 00:00:00;17,29229736;1;8;24
236;2010-08-25 00:00:00;18,37352562;1;8;25
237;2010-08-26 00:00:00;22,40527725;1;8;26
238;2010-08-27 00:00:00;19,24838257;1;8;27
239;2010-08-28 00:00:00;15,40474129;1;8;28
240;2010-08-29 00:00:00;14,19596672;1;8;29
241;2010-08-30 00:00:00;13,20271873;1;8;30
242;2010-08-31 00:00:00;13,86253548;1;8;31
243;2010-09-01 00:00:00;15,27213001;1;9;1
244;2010-09-02 00:00:00;16,34750366;1;9;2
245;2010-09-03 00:00:00;16,96352577;1;9;3
246;2010-09-04 00:00:00;16,83041763;1;9;4
247;2010-09-05 00:00:00;17,44032669;1;9;5
248;2010-09-06 00:00:00;17,3380928;1;9;6
249;2010-09-07 00:00:00;15,73412895;1;9;7
250;2010-09-08 00:00:00;14,40196133;1;9;8
251;2010-09-09 00:00:00;14,26355553;1;9;9
252;2010-09-10 00:00:00;14,81794357;1;9;10
253;2010-09-11 00:00:00;16,36473846;1;9;11
254;2010-09-12 00:00:00;15,72770023;1;9;12
255;2010-09-13 00:00:00;13,85671139;1;9;13
256;2010-09-14 00:00:00;15,01511288;1;9;14
257;2010-09-15 00:00:00;15,08391571;1;9;15
258;2010-09-16 00:00:00;13,69120598;1;9;16
259;2010-09-17 00:00:00;12,51422405;1;9;17
260;2010-09-18 00:00:00;11,03620148;1;9;18
261;2010-09-19 00:00:00;10,92696095;1;9;19
262;2010-09-20 00:00:00;12,98697948;1;9;20
263;2010-09-21 00:00:00;14,68342113;1;9;21
264;2010-09-22 00:00:00;16,0165081;1;9;22
265;2010-09-23 00:00:00;16,3239193;1;9;23
266;2010-09-24 00:00:00;13,19485474;1;9;24
267;2010-09-25 00:00:00;10,38453293;1;9;25
268;2010-09-26 00:00:00;8,374818802;1;9;26
269;2010-09-27 00:00:00;8,850020409;1;9;27
270;2010-09-28 00:00:00;10,32708263;1;9;28
271;2010-09-29 00:00:00;11,78339005;1;9;29
272;2010-09-30 00:00:00;11,91908646;1;9;30
